orig_id,label,youtube_id
17,tap dancing,--6q_33gNew
142,breakdancing,-0AFA2OVzn0
166,belly dancing,-0L4z8D2eGs
179,tap dancing,-0SUZKVInwE
298,dancing charleston,-1KtlEOx78I
299,dancing ballet,-1Kv095GbV8
312,square dancing,-1TmA7jvoBQ
327,dancing charleston,-1_m2Igd2Yc
356,breakdancing,-1taDykxZwQ
367,jumpstyle dancing,-1yjdvpuk6I
398,belly dancing,-2JgjPsy4Eo
400,dancing ballet,-2KEkl93snA
506,salsa dancing,-3FihEVl-R8
575,jumpstyle dancing,-3lSf8-QCow
596,robot dancing,-3uzSAz60BQ
652,country line dancing,-4HzfnOtVeI
677,jumpstyle dancing,-4aFe_kvUaI
694,robot dancing,-4hbj9ZTCIc
695,country line dancing,-4hw_9qTcSk
711,tap dancing,-4r6VLqGeK4
731,breakdancing,-54-4pEYATY
744,robot dancing,-59dBjAyYyE
801,dancing ballet,-5Yp-vToI2E
918,country line dancing,-6Xq1psvDW0
933,dancing macarena,-6hsbWBHZrE
1042,dancing macarena,-7__u70jRAg
1068,mosh pit dancing,-7kBVsJ5bDY
1088,belly dancing,-7tDxxH2g6I
1113,dancing gangnam style,-80j1rHPDGk
1125,mosh pit dancing,-87nn_xb9h4
1180,swing dancing,-8a--G_BC7s
1210,breakdancing,-8snoM0IJ68
1265,mosh pit dancing,-9N39otwJl8
1336,tap dancing,-A-VnQIVFLo
1339,tango dancing,-A1hobVvozo
1350,breakdancing,-A6-ubbxy3w
1363,robot dancing,-ADLGQ4KR0U
1467,country line dancing,-B3ugc7t7aU
1489,tap dancing,-BH7z1yUQQE
1527,dancing macarena,-Bj-Z0TmpCQ
1591,salsa dancing,-CHYvPQSQwQ
1621,tap dancing,-CXeDiTndgY
1685,robot dancing,-Cz6CxT3FME
1717,robot dancing,-DHv1OxT1mY
1791,dancing gangnam style,-Dy57X8lNro
1810,country line dancing,-E8Hy-2zIrs
1811,dancing charleston,-E8jrCQ3fhE
1835,robot dancing,-ELLDKQWTos
1842,square dancing,-EQiDEeiOBw
1924,robot dancing,-FJ4MNnJu3k
1993,mosh pit dancing,-FlmGrXekFk
2068,swing dancing,-GMjIMwQbZY
2075,tap dancing,-GQHeAoBDuQ
2082,country line dancing,-GWX9zBdmCw
2096,tango dancing,-GbpR355DCM
2141,dancing macarena,-H2Ej2rFWfk
2184,tango dancing,-HTEbymhQHY
2191,dancing macarena,-HYfm8teSyQ
2207,robot dancing,-HkV3zIyRhQ
2266,tango dancing,-IEiJoNUEw4
2283,breakdancing,-IS9CSDhqfA
2316,robot dancing,-IhBg_bfydQ
2334,dancing charleston,-IrDRBAYw6M
2359,dancing charleston,-J6snxXBSAc
2435,belly dancing,-Jn0eYzs0HY
2480,belly dancing,-KE9zHM2PPE
2486,dancing charleston,-KGSLTHQTh4
2505,tango dancing,-KSenkRK0EE
2570,tango dancing,-L1EgBsU3Tk
2584,breakdancing,-L6HSKDolBQ
2622,salsa dancing,-LRAy-ZDujU
2624,dancing ballet,-LSZk-kC-Nk
2633,jumpstyle dancing,-LVOf40Dbqg
2767,dancing charleston,-Ml2rkk6l6o
2830,tango dancing,-N5M98rR9AY
2848,dancing macarena,-NE4uod348M
2858,swing dancing,-NJK2KRJqlQ
2965,dancing gangnam style,-O0mBf-MsxE
2977,jumpstyle dancing,-O60ZiHoP24
3002,tap dancing,-OPuI0ngwqI
3048,dancing charleston,-OoGOfXlexk
3060,dancing charleston,-OvJ6k9vi0I
3097,robot dancing,-PCg8GP1I2E
3114,dancing gangnam style,-PMG_RNHaQE
3177,tap dancing,-Py356M6sPI
3220,mosh pit dancing,-QLgWy2qB_E
3232,dancing charleston,-QTbCH2oOKc
3296,dancing charleston,-Qw4kMRwH8s
3403,dancing charleston,-Rpdgk9keZU
3438,dancing gangnam style,-S7s8fqYspc
3445,mosh pit dancing,-SDy1wLQ6CQ
3467,tap dancing,-SWLyUn-o0s
3506,dancing charleston,-SsRQe7_4ao
3555,dancing charleston,-TNUHZx_b5I
3618,jumpstyle dancing,-TzMH0fW5Rw
3651,belly dancing,-UJvdxoTE2I
3675,country line dancing,-Ubzo-TKF60
3863,dancing ballet,-WmjG9gBUTI
3932,mosh pit dancing,-XEFidmMS6g
3959,tango dancing,-XWNL3WxzaI
3995,swing dancing,-XyE05XlEqo
4001,swing dancing,-Y-fUYGcb7o
4168,mosh pit dancing,-ZZ9N1fh-wE
4247,salsa dancing,-_ScQW-_JMQ
4282,tap dancing,-_pn5NxJmok
4293,country line dancing,-_xpBSA0HKY
4363,mosh pit dancing,-afSjvCPyps
4409,swing dancing,-b4i0scwuiU
4448,dancing macarena,-bOgXBuuge0
4558,dancing gangnam style,-cIPyFZRweI
4562,salsa dancing,-cKUwy4v04Q
4596,dancing gangnam style,-ceOB7utBGk
4610,belly dancing,-ci0aM-_ayw
4612,jumpstyle dancing,-ciVOQS2RHo
4683,swing dancing,-dIm5fqjVk4
4802,jumpstyle dancing,-eR5PBH07Nc
4814,country line dancing,-eXZHYdrZZc
4838,square dancing,-ejVtZ9IVN4
4860,jumpstyle dancing,-evaD58XTGs
5029,dancing macarena,-gBVLK8t4tE
5084,robot dancing,-gcjYCvU9IM
5166,dancing charleston,-hGlxmmji9o
5267,dancing macarena,-i7rrd7W7UM
5269,salsa dancing,-i8qXrhHOkY
5276,jumpstyle dancing,-iCkcQcXhl8
5306,dancing macarena,-iVIGUElAfM
5309,jumpstyle dancing,-iYoFfGfgkI
5364,dancing charleston,-itPc_l4AGs
5389,jumpstyle dancing,-j7KbbDG2uo
5446,dancing macarena,-jRtipDJaSU
5449,robot dancing,-jSJQuCgydA
5511,dancing gangnam style,-jwd_e-FwkQ
5637,tap dancing,-koo4FOfZE0
5680,dancing gangnam style,-l8VHbAWlYE
5729,tap dancing,-laf6Y17FkA
5730,salsa dancing,-lalLEEvhV8
5741,dancing ballet,-lh0iu1g7wE
5780,tap dancing,-m2WZLslIqw
5782,tap dancing,-m4lDw7atUE
5788,square dancing,-m6HBpoqCVE
5850,country line dancing,-mc3NdGyxMU
5877,breakdancing,-mqyKIWq6GA
5883,tap dancing,-mwC9o_A3sE
5903,tap dancing,-n0z-qvK7x4
5940,mosh pit dancing,-nMGxZgVw7w
5995,salsa dancing,-nt-svW8Bqo
6013,jumpstyle dancing,-o1Jl_ElA_4
6105,jumpstyle dancing,-onTnotvtPI
6114,tap dancing,-orJ9_9WatE
6169,dancing charleston,-pPJzusZmro
6182,dancing macarena,-pZ6R3HDXf0
6207,dancing gangnam style,-pk9WMis7Vo
6224,dancing charleston,-pt85VuDHDY
6242,belly dancing,-q0Wpf0WThk
6283,dancing charleston,-qKcq4t4oJA
6306,tap dancing,-qVt-Y2vcwE
6408,dancing ballet,-rVTcj0DiXw
6413,breakdancing,-rWypqP0Tck
6423,swing dancing,-rd5PEsfQPc
6480,dancing charleston,-sMD5sf_FO8
6498,dancing macarena,-sVo84G6514
6527,salsa dancing,-sjfS02i2jI
6611,salsa dancing,-tZY4HE03yo
6663,robot dancing,-u1syZ5fxSA
6682,mosh pit dancing,-uD1Rdt0mG0
6748,belly dancing,-uv_-QtVUh0
6749,salsa dancing,-uvzdzobzSU
6825,dancing gangnam style,-vfv-7yUabU
6827,breakdancing,-vgNRqC56Lk
6860,belly dancing,-vxSVUZGaok
6941,dancing macarena,-wii19IZoUs
7029,dancing ballet,-xjovT9c-q0
7095,swing dancing,-yGqXEZRbEk
7133,dancing gangnam style,-yf7-CgpyAE
7138,country line dancing,-yi2s4DW6MA
7150,dancing macarena,-ysjvl5YaKQ
7185,square dancing,-zMK3iS4fvY
7241,breakdancing,-zznOFzbdKQ
7253,dancing gangnam style,0-85zew-Ffs
7288,dancing charleston,0-UnlIzrGYM
7294,tap dancing,0-b4M8jssX8
7305,breakdancing,0-j32uToWag
7382,breakdancing,00Q1yLqGCY0
7400,swing dancing,00cTtC717kM
7543,dancing charleston,01vz5eG5Tvw
7635,mosh pit dancing,02ff4iB-AxU
7671,swing dancing,02y6zWWUHLo
7697,jumpstyle dancing,036oZtqfW1Y
7728,breakdancing,03LexUfuweY
7772,robot dancing,03itqKaw8ec
7781,tap dancing,03myzLkvb_E
7795,robot dancing,03teFOdaZKo
7843,dancing gangnam style,04I82lSY90c
7851,dancing charleston,04KNSB6EKkc
7858,jumpstyle dancing,04O0fbu2KqI
7929,swing dancing,04t-dJeO9S0
7937,square dancing,04wKx4-jBEs
7940,breakdancing,04y149S_ots
7968,dancing gangnam style,05APlbDxQc8
7976,tango dancing,05DYAImHEXs
8005,tango dancing,05T-mxQdu2g
8013,dancing macarena,05Ze7_XyfZ8
8068,tap dancing,05wsL12f47w
8130,salsa dancing,06PWAHq3ku8
8240,belly dancing,07GWZhbkR_0
8243,dancing charleston,07HEzNmcZ34
8274,robot dancing,07bAsAux0y0
8276,dancing macarena,07bzSRX7uc8
8304,swing dancing,07r6PaqMrZk
8320,breakdancing,07wi_s74YG0
8410,dancing gangnam style,08XCRYe41Os
8432,tango dancing,08grtKkqwvY
8459,dancing ballet,08t3tp-avUE
8461,salsa dancing,08tiN96FebU
8462,dancing gangnam style,08ticaoBlWs
8481,robot dancing,090z4pxSE7A
8485,mosh pit dancing,0926nXPz1gY
8517,salsa dancing,09Hbbin_TK0
8564,robot dancing,09hZs0ExbBQ
8620,breakdancing,0A7bjpkmc1E
8641,dancing gangnam style,0AI_vjc9g6o
8687,tap dancing,0AjZCHKtJG8
8695,dancing gangnam style,0AmZKYcv2OE
8761,tap dancing,0BZakLHCi4A
8773,belly dancing,0BeuFmkW5as
8818,country line dancing,0C3DvkVAMew
8917,square dancing,0Cyoavthm6s
8928,jumpstyle dancing,0D3AVuNz50w
8934,breakdancing,0D5ZA1xF6s8
9051,jumpstyle dancing,0DyCWmkJScs
9063,square dancing,0E58swbxmQA
9089,breakdancing,0EI804x_Qe0
9135,belly dancing,0EezE5Ylj-g
9145,belly dancing,0EkDMT2U9W4
9149,breakdancing,0EkwOZ7nesY
9154,salsa dancing,0Ene1kBEt5Q
9156,breakdancing,0EojNazUJ9U
9158,dancing macarena,0ErBwoEUrjI
9178,dancing charleston,0F-yMf2F_6A
9187,salsa dancing,0F57ZCIDLew
9232,swing dancing,0FT80pynMBY
9310,tango dancing,0GI8boEaFHM
9312,dancing ballet,0GITpJjX4qs
9319,dancing ballet,0GJggKtnkEE
9335,tap dancing,0GQFYsxMP9Y
9350,tap dancing,0GWM3flz3ic
9364,salsa dancing,0Gbe5JUyy64
9385,jumpstyle dancing,0GloUfvb8z8
9400,tango dancing,0GrWihD18NI
9426,tap dancing,0H37S12sCXM
9438,breakdancing,0H6ylMAcLWE
9441,salsa dancing,0H9pEyGwF5E
9455,swing dancing,0HGWOQdE9n0
9489,tap dancing,0HWhcKnIrqs
9519,dancing charleston,0HplfMsu8Gg
9529,robot dancing,0HuzXEurvTM
9540,robot dancing,0I-vbHmDjGs
9680,belly dancing,0JUQMnQF6mc
9772,dancing charleston,0KBDkR4n6xY
9846,dancing ballet,0KlmpvUrmk4
9852,salsa dancing,0KoJZg6jONE
9854,mosh pit dancing,0Koeugb8HGc
9865,swing dancing,0KwLRVSUUjA
9918,swing dancing,0LGDPVwWMhg
9956,robot dancing,0LbjHTcjeq0
9967,square dancing,0LiWZ2bmFRE
10007,dancing macarena,0M-EglwvrSU
10161,tango dancing,0NDi9GQwAnw
10182,breakdancing,0NOVAxIyAFc
10286,tap dancing,0OSjXzxiv6Q
10290,tango dancing,0OTjgx8oP54
10308,dancing gangnam style,0Od00N2SNaY
10436,dancing charleston,0PnCon45iYg
10456,robot dancing,0Pwbnaw7RwQ
10492,tap dancing,0QKs5fUXMjU
10595,robot dancing,0RJSKp7TvWI
10605,tap dancing,0RNc78-05dU
10608,robot dancing,0RNxVdXacGk
10632,swing dancing,0R_vyiYVEG4
10636,country line dancing,0RbEI2D8NHg
10679,tap dancing,0Rx5_IEmzpo
10694,robot dancing,0S4uq95gc3U
10724,dancing gangnam style,0SI5_7lbtHQ
10735,jumpstyle dancing,0SOq4wSdiNo
10754,square dancing,0SZzLgcHfcM
10758,dancing charleston,0Sbga8Y3DBg
10769,jumpstyle dancing,0SgvqX30mjs
10806,swing dancing,0SzUtp7G7sc
10825,jumpstyle dancing,0TB0YYbJiMM
10828,tap dancing,0TBzhlvgiJE
10853,tango dancing,0TQL2FaeB9E
10889,jumpstyle dancing,0Tg__pZ5fVA
11018,salsa dancing,0UnO2yzfTJA
11064,tap dancing,0VKlPcvL3dM
11093,country line dancing,0VatkN_w-gY
11096,dancing macarena,0VeH2RZ747c
11107,dancing charleston,0VkMVfiKkSo
